Time,Battery Voltage,PROM ID,Throttle Position,IAC Present Position,Coolant Temp,Vehicle Speed,Load,Engine Speed,Integrator,O2,BLM,O2 Cross Count,Knock Retard,EGR Duty Cycle,MAF,Air Temp,ROAD SPEED PULSE OCCURRED,ESC FAILURE,REFERENCE PULSE OCCURRED,DIAGNOSTIC SWITCH IN FACTORY TEST,DIAG SWITCH IN DIAG POSITION,DIAGNOSTIC SWITCH IN ALDL POSITION,HIGH BATTERY VOLTAGE,AIR METER PULSE OCCURRED,C24 OPEN OR GROUNDED VEHICLE SPEED SENSOR,C23 AIR TEMPERATURE SENSRO CIRCUIT OPEN,C22 THROTTLE POSITION SENSOR LOW,C21 THROTTLE POSITION SENSOR HIGH,C15 COOLANT SENSOR LOW TEMPERATURE,C14 COOLANT SENSOR HIGH TEMPERATURE,C13 OXYGEN SENSOR OPEN,C12 NO REFERENCE PULSES,C42 OPEN EST OR BYPASS CIRCUIT TO ECM,C41 CAM SENSOR FAILURE,C34 MAF SENSOR LOW,C33 MAF SENSOR HIGH,C32 EGR DIAGNOSTICS,C31 WASTEGATE SIGNAL OPEN OR GROUNDED,C25 AIR TEMPERATURE SENSOR CIRCUIT SHORTED,C55 FAULTY ECM,C52 CAL PACK MISSING,C51 PROM ERROR,C45 OXYGEN SENSOR RICH,C44 OXYGEN SENSOR LEAN,C43 ESC FAILURE,CLEAR FLOOD FLAG,Learn Control,Rich/Lean,Loop Status,PARK/NEUTRAL MODE,CRUISE,TCC ,Water Injector,A/C,Latitude,Longitude,Altitude,Bearing,Speed,Acceleration (X),Acceleration (Y),Acceleration (Z),Azimuth,G Force,
6.430,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,105.08,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56717137,-121.96905938,-5.23260498046875,0.0,0.0,0.008467555046081543,-0.022528886795043945,0.08385276794433594,126.51773071289062,0.008895840489371745,
7.842,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,105.08,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716852,-121.9690583,-5.18157958984375,0.0,0.0,-0.00533902645111084,-0.07321286201477051,0.0022306442260742188,126.04217529296875,0.00748891409696619,
9.411,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,105.08,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716614,-121.9690571,-4.970794677734375,0.0,0.0,0.035700440406799316,0.02253270149230957,0.005892753601074219,125.76422119140625,0.0043466334857271095,
10.839,12.5,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716349,-121.96905634,-4.397491455078125,0.0,0.0,-0.008203625679016113,-0.017586469650268555,-0.009606361389160156,126.18084716796875,0.0022080224578807537,
12.239,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716597,-121.96905826,-4.717926025390625,0.0,0.0,-0.003642857074737549,0.011834144592285156,-0.0022306442260742188,125.70001220703125,0.0012829519738628262,
13.816,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.5671674,-121.96905891,-4.997833251953125,0.0,0.0,-0.008307576179504395,-0.017312288284301758,-0.0066986083984375,125.93545532226562,0.0020738192380319923,
15.230,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716721,-121.96905877,-4.94866943359375,0.0,0.0,0.02612757682800293,0.02125263214111328,-0.006295204162597656,126.72021484375,0.0034938550694679116,
16.808,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716696,-121.96905866,-4.894195556640625,0.0,0.0,0.006662547588348389,-0.003025531768798828,-0.013744354248046875,127.59503173828125,0.0015877825338970948,
18.215,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716699,-121.96905863,-4.898681640625,0.0,0.0,-0.02916252613067627,-0.0043201446533203125,0.013571739196777344,128.72137451171875,0.0033094601193353825,
19.631,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.567167,-121.96905869,-4.910430908203125,0.0,0.0,0.007353723049163818,-0.006137371063232422,0.0059185028076171875,129.37603759765625,0.0011481354566918898,
21.206,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716704,-121.96905878,-4.923370361328125,0.0,0.0,0.01006007194519043,-0.002322673797607422,0.0017461776733398438,129.04403686523438,0.001067779639435088,
22.632,12.4,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716715,-121.96905892,-4.958343505859375,0.0,0.0,0.05839186906814575,0.014501094818115234,-0.03450489044189453,128.85595703125,0.007072508913543333,
24.039,12.5,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716723,-121.96905897,-4.96343994140625,0.0,0.0,0.0011324882507324219,0.008730173110961914,-0.023230552673339844,128.62261962890625,0.002533244783294985,
25.615,12.3,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,3.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,Off,Requested,37.56716714,-121.96905905,-4.951080322265625,0.0,0.0,-0.022472620010375977,0.003962278366088867,-0.06421184539794922,129.08343505859375,0.006948959538654153,
27.026,0.0,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,254.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,On,Requested,37.56716731,-121.96905922,-4.990203857421875,0.0,0.0,-0.09236598014831543,-0.05554771423339844,-0.16866779327392578,131.0589599609375,0.020411103000767847,
28.439,0.0,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,254.0,106.52,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,On,Requested,37.56716748,-121.96905937,-5.001983642578125,0.0,0.0,-0.34321460127830505,-0.28238582611083984,0.4033069610595703,131.78158569335938,0.06119949722616259,
30.019,0.0,AEA,0.39,150,69,0,0,0,128,501.72,128,0,0,0.0,254.0,106.52,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Set,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Disabled,Lean,Open,Set,Clear,Unlocked,On,Requested,37.56716753,-121.96905938,-5.004791259765625,0.0,0.0,0.01766437292098999,0.004912853240966797,-0.05483245849609375,131.23391723632812,0.005895657201370717,
